,ktr,gam,slope_ven_blast,slope_aza_blast,slope_ven_wbc,slope_aza_wbc,B,Xl1,B0,p1
7773,0.6637006422827841,0.20110246410659716,0.00011139168576861215,0.0480506821812349,0.0422723664691105,0.28909557034602873,2.8538763060833956,0.746231261303746,0.0005824032262479851,0.003505489686688274
9823,0.6666666338896702,0.4409080723431252,0.064487379724034,1.3882822528748362,0.8514104159838203,0.1139512354927101,0.7867065289532904,0.00015572331489277426,2.150730060767891,0.08706334056230065
7908,0.30236636781322757,0.4112004918354801,0.7416489959624878,0.39903414737961435,0.03873860903825827,1.2978744476697213,0.4808034284787477,6.666666349013196,0.00033714288357647237,0.021766348239573418
4838,0.5613145821746139,0.24163261029809077,1.5000000012499992,1.5000000012500059,0.0001199017147297822,0.024738811664990073,1.0500391641583664,6.6666666402226,0.006029908148141833,0.026222422640449487
5478,0.19600288411165734,0.2937446980638795,0.5478408422718869,0.7365509823678823,1.5000000012500165,1.4961488358923243,4.134146974705359,6.666666677777878,0.09187203763124316,0.9151984189847164
6374,0.617992984924604,0.6666666677777704,0.25771907176899145,0.08480618234280646,0.18622855133625113,0.4004427074945051,0.44593830789748795,0.15195000035435285,0.49380682915561,0.06155798785357785
7402,0.14780454489280906,0.666666667777776,0.6042740400685069,1.0073663402171973,0.1455280098366271,0.9139648280981921,1.5000237607686138,0.023290324896333134,0.26480331335019613,0.04236490408861566
3947,0.0034981959425460494,0.6666666677777775,0.19155471007253963,1.2334371095955654,0.00010531868512634007,0.0021551033377665246,9.16666666736111,0.7823269627897615,1.8465917124838098,0.10937297443262929
2927,0.6666666677777767,0.3603770976940975,1.5000000012500032,1.4595801439906049,0.03243055991072104,0.0001677687884503279,6.335411342046095,6.6666666777777746,0.11540812677024391,0.0008643570587613504
1393,0.5905921203709014,0.24375059389252596,0.49880036160185015,1.4583256397628184,0.45710998862583474,1.2593836631940964,0.7343643022020501,3.91848710467967,0.23096206385052717,0.2193075294606348
5874,0.09250216807606054,0.29225646132482797,1.1005960698202077,0.8618687532463041,0.13225162213571046,1.210255874316207,8.706901794124896,0.038461019200678126,0.866967748170981,0.21881929726003457
7537,0.1949673516151646,0.6307467571441491,0.5377592873562581,1.4160035062404626,0.10578313697777812,0.2572878405659586,0.9358164117045491,6.666656894695758,0.4734500659609485,0.05564961005555644
3447,0.4686902351849043,0.6654200204187057,0.8834535342025819,0.4347444305337473,0.9781859517045696,0.2663692540542586,1.1424796936466672,2.3811049537188813,0.004275379773742276,0.45465168794787925
9851,0.5037557961343553,0.6666666637405945,0.32890360885460385,1.5000000012499966,0.14598323343096004,1.4393907509520505,1.4472178830682831,0.9924502836398903,0.36482014556500475,0.053085470523450445
