,blasts_train,leuk_train,neut_corr,blast_corr,neut_mape,neut_corr_2,blast_corr_2,neut_fvu_r2,blast_fvu_r2,frac_unexplained_variance_neut,frac_unexplained_variance_blast,model
1393,17.104167103378426,0.2053111911467931,0.7849574450520348,0.7987042363346928,inf,0.7849574450520348,0.7987042363346928,0.3838418094573818,0.36207154286101517,0.3454634724366534,0.44827049576754296,m1
5874,8.030414558339179e-05,0.5494489752137524,0.7387274212868375,1.0,0.9066435987645887,0.7387274212868375,1.0,0.45428179703889926,0.0,0.4089024537421186,5.716348629698466e-12,m1
7537,2.1696239845775103,0.790310665569105,0.24926685646294705,0.991219435201131,1.293837019908513,0.24926685646294705,0.991219435201131,0.9378660342690806,0.017484031279550893,0.926578757573426,0.04784840651069821,m1
3447,2.314798736357526,0.4898488697658327,0.4629603320623764,0.9999999999998255,0.2975926402980446,0.4629603320623764,0.9999999999998255,0.7856677309366942,3.490541189421492e-13,0.8337637977084276,0.0495974245671363,m1
9851,1.4296275762321062,0.5291484078859529,0.5835976039915094,0.9633319137094234,inf,0.5835976039915094,0.9633319137094234,0.6594138366153695,0.07199162402894,0.6466657262379761,0.16684367401822747,m1
6780,2.3385280327012983,0.3010768323168635,0.8141813652788897,0.9999999999946789,0.40738673299217965,0.8141813652788897,0.9999999999946789,0.3371087044326031,1.06421538248469e-11,0.32783401918468336,0.006427872452207667,m1
8574,1.3923936626479094,0.349066803155481,0.9403501669776753,0.9996507499598187,inf,0.9403501669776753,0.9996507499598187,0.11574156346505826,0.0006983781047720239,0.10711565937864444,0.0007956335741385288,m1
3841,7.423876404247067,0.7472593664151973,0.26114010424285766,0.9636898154837074,1.1365361924437343,0.26114010424285766,0.9636898154837074,0.9318058459560294,0.07130193953297803,0.8477156800140196,0.08791971849229453,m1a
1666,2.114318841911721,1.3404564879195866,0.4044444037335436,0.9980278718444288,1.4994174342296105,0.4044444037335436,0.9980278718444288,0.8364247242886184,0.003940367021680435,0.8224421598120976,0.029625949497600414,m1a
4098,9.430510105899511,0.4877794780124239,0.5145890159150063,0.9619120876142172,0.5545248316233824,0.5145890159150063,0.9619120876142172,0.7351981446996254,0.07472513570165851,0.70027647798587,0.12130191524092677,m1a
8322,0.0006975950532619,0.0515231734570113,0.9944615319857706,,0.41354274739390834,0.9944615319857706,,0.011046261400514235,,0.009082788188098155,inf,m1a
3717,5.7390013293946565,0.5474298197474537,0.23987518445264835,0.9829970482947487,inf,0.23987518445264835,0.9829970482947487,0.942459895883808,0.03371680304381153,0.9196257121988578,0.052559661190369415,m1a
7687,0.8735679477191436,0.501598006821138,0.3277551606019743,0.9446517103285601,0.3922660079084605,0.3277551606019743,0.9446517103285601,0.8925765546987741,0.1076331461733262,0.8705067006434009,0.09031017269612265,m1a
3339,10.931979550466876,0.2761740890392918,0.6677655442531504,-0.7650376575809531,0.633052440079665,0.6677655442531504,0.0,0.5540891779082939,1.0,0.701998411934493,0.6829038679532912,m1a
8205,8.320146100925488,0.4907453114498009,0.9398643062519454,-0.8615668266718843,inf,0.9398643062519454,0.0,0.11665508583354944,1.0,0.11061581463929598,2.4289414435349332,m1a
9102,34.73143429862988,2.5797749542298365,0.38539615189174775,0.6735896845941362,inf,0.38539615189174775,0.6735896845941362,0.8514698061070329,0.5462769368083722,1.3235301118589522,0.6684802041784671,m1a
9357,2.1003922412779588,0.7745512420385162,0.7425253338889986,0.996680990721611,inf,0.7425253338889986,0.996680990721611,0.4486561285330313,0.006627002734188037,0.4282234445647845,0.029236954291639777,m1a
6416,inf,inf,inf,inf,inf,inf,inf,-inf,-inf,inf,inf,m1a
3347,28.824906221014867,1.7575075467543302e-06,0.9999999999961089,-0.4015153313576152,1.831366394564234e-06,0.9999999999961089,0.0,7.782219313412497e-12,1.0,6.273864814282513e-11,2.2301633112573103,m1a
6804,20.124291115454685,1.1761355657671453,0.3673157040474784,0.781576309617967,1.8669998363142681,0.3673157040474784,0.781576309617967,0.8650791735601053,0.3891384722439598,0.8353669176317311,0.3467686598963457,m1a
8725,17.406862847423213,0.7917814436327982,0.5408081493124037,0.4916812265007837,inf,0.5408081493124037,0.4916812265007837,0.7075265456372928,0.758249571506685,0.693122922102536,1.2336497888836109,m1a
9109,8.184349937708008,0.3387468275910165,0.7661139871957245,0.999839108444426,0.30576333805073047,0.7661139871957245,0.999839108444426,0.41306935862306926,0.0003217572250553413,0.4149273398929756,0.12267545022792457,m1a
8216,2.402006051956896,1.1928431777205042,0.5094986805628011,1.0,0.6520158889991299,0.5094986805628011,1.0,0.7404110945047647,0.0,0.7291681531175834,0.09918046936500921,m1a
5276,7.689871429310415,0.1619222014367428,0.7309254776841939,0.37888483169935566,0.32694159107838094,0.7309254776841939,0.37888483169935566,0.465747946072133,0.856446284308151,0.7448522533557134,0.6852157890999375,m1a
3101,1.4091352271856408,0.6627014422550254,0.24520144819745418,0.9710092613475995,0.4906807021952222,0.24520144819745418,0.9710092613475995,0.9398762498018712,0.057141014377189325,0.9221743015923567,0.07055652091100857,m1a
3360,8.790039827898056,0.504457794203001,0.5461655873091231,0.9717261093578798,1.7490119218758688,0.5461655873091231,0.9717261093578798,0.7017031512392806,0.05574836839219777,0.67524998449053,0.08034467955913424,m1a
2467,1.246763598999081,0.7811788151307015,0.31055771945448607,0.9902819069656194,0.4356611736881445,0.31055771945448607,0.9902819069656194,0.9035539028872287,0.01934174473653638,0.8843340880035622,0.02240514933712728,m1a
4132,2.3389947423352737,3.288107689743761,0.6449691343972558,0.9999999999999999,inf,0.6449691343972558,0.9999999999999999,0.5840148156748546,2.220446049250313e-16,0.6068300424221476,0.04410901611224634,m1a
5157,10.745507525039496,0.634838760385825,0.45321316167903736,0.8311870897461722,1.3186342863599576,0.45321316167903736,0.8311870897461722,0.7945978300808907,0.3091280218392888,0.7618277828321056,0.4151584070855926,m1a
3110,2.8647928735121093,0.2498325087731184,0.7023121579500387,0.9984764166670187,inf,0.7023121579500387,0.9984764166670187,0.50675763279556,0.003044845359790105,0.49615142521304184,0.01202223827638185,m1a
8103,2.14011446042353,0.1058965133765506,0.9487125964152302,0.5163507683194323,0.3167894858872429,0.9487125964152302,0.5163507683194323,0.09994440940307259,0.733381884055932,0.08759526956108879,0.4907239182550604,m1a
5161,2.236135443598993,0.7629019534843249,-0.38374459590638316,1.0,inf,0.0,1.0,1.0,0.0,2.7343025742861986,0.003673316232962105,m1a
3114,6.185088904476376,0.2918180468961677,0.6935070442824358,0.9828552503243188,inf,0.6935070442824358,0.9828552503243188,0.5190479795306396,0.03399555690992073,0.5057056351361275,0.06337072887940826,m1a
8106,2.169842988252777,0.5438106478234531,0.7031681968827467,0.9949583242591432,0.38673156463808833,0.7031681968827467,0.9949583242591432,0.5055544868926668,0.010057932987437623,0.4999055491217793,0.056031692354416754,m1a
3500,3.366024665782132,1.0949298035412882,-0.1243505330874814,0.9965042979962987,inf,0.0,0.9965042979962987,1.0,0.0069791840749039435,1.2151324471197533,0.005593188552428155,m1a
3631,9.234838433898677,4.0196570755672765,-0.1119960819309534,0.8716500676861627,inf,0.0,0.8716500676861627,1.0,0.24022615950270798,1.3589500396758725,0.30308804616249785,m1a
6450,5.885816264134133,1.1039275026951665,0.4829690995781203,0.8700355456112743,1.7916538167482043,0.4829690995781203,0.8700355456112743,0.7667408488526997,0.24303814937289225,0.7646404304467758,0.2068228841501247,m1a
6067,4.058359946085838,0.5012633123624062,0.6211699742182184,0.9990114357356463,inf,0.6211699742182184,0.9990114357356463,0.6141478631297379,0.0019761512694026484,0.6176203980283584,0.05214178219863506,m1a
8242,11.280555048843723,0.3644368216616707,0.4552914855249759,0.46535129042444745,0.43451130763208445,0.4552914855249759,0.46535129042444745,0.7927096632084607,0.7834481765003016,0.7655558169997629,0.7222186977076731,m1a
2101,0.0157676743603947,1.2685598979248065,0.5207091253844779,,0.5581711615636354,0.5207091253844779,,0.7288620067413321,,0.7120488566438431,inf,m1a
3895,9.61319082615169,0.5287181206178624,0.7154141398810746,0.9987227536656632,0.384708302096295,0.7154141398810746,0.9987227536656632,0.48818260845822226,0.002552861310475052,0.4856446265186728,0.12308969871051924,m1a
2104,1.0464277164333402,0.1268342420267586,0.08660611188000987,0.9903990801208508,0.5853059712289634,0.08660611188000987,0.9903990801208508,0.9924993813850272,0.019109662095772584,0.9088658164125643,0.016996677776016992,m1a
2105,0.0047194735680028,0.2527194869506901,0.6433455027662254,,0.5427475304135099,0.6433455027662254,,0.5861065640704727,,0.5689022709824043,inf,m1a
1978,5.316713207959487,0.6626523551320808,0.8374598598305633,0.9805745915246616,inf,0.8374598598305633,0.9805745915246616,0.2986609831725734,0.03847347045624294,0.5093819992533755,0.036494857356685555,m1a
6074,0.0526773955941101,0.2429664834981112,0.744309759208031,0.9999968947264437,inf,0.744309759208031,0.9999968947264437,0.4460029823476829,6.210537469852895e-06,0.4152002633075244,5.887774255417719e-06,m1a
9145,2.4019223470160878,1.5404216131846151,0.352551635237601,1.0,0.47663022494625595,0.352551635237601,1.0,0.8757073444912935,0.0,0.8632491441817876,1.3333333776753509,m1a
2111,1.0730995296446064,0.6369432013076661,0.44124952992004185,0.9962686189980965,inf,0.44124952992004185,0.9962686189980965,0.8052988523453422,0.007448838799625657,0.7049485673827726,0.007907588673122579,m1a
5568,2.570859698578798,0.4445905704782723,0.5571945882246557,0.9979247217172309,0.35915751458924244,0.5571945882246557,0.9979247217172309,0.6895341908531564,0.004146249785587308,0.6937368623150015,0.020303829779793916,m1a
3266,2.2698705043722933,1.4269722977887234,0.10048002937255203,1.0,inf,0.10048002937255203,1.0,0.989903763697291,0.0,1.076321882334438,0.004641513541389424,m1a
3652,1.6082935524940805,0.7290462335635707,0.3032305989025097,0.9996257561978497,inf,0.3032305989025097,0.9996257561978497,0.9080512038892253,0.0007483475458772704,0.8925361553369616,0.009171353000754454,m1a
2886,0.7605002426110806,0.403514377349421,0.9927379471681894,0.9958500035762416,0.6003615643667887,0.9927379471681894,0.9958500035762416,0.014471368252289118,0.008282770377199489,0.052548063373650096,0.0073326227449954035,m1a
